team,year,statName,statValue,category
Arkansas State,2022,passingTDs,16,
Arkansas State,2022,totalYards,3779,
Arkansas State,2022,rushingTDs,16,
Arkansas State,2022,interceptionTDs,1,
Arkansas State,2022,interceptions,5,
Arkansas State,2022,thirdDownConversions,49,
Arkansas State,2022,netPassingYards,2721,
Arkansas State,2022,passCompletions,247,
Arkansas State,2022,fourthDowns,23,
Arkansas State,2022,penaltyYards,654,
Arkansas State,2022,turnovers,9,
Arkansas State,2022,penalties,68,
Arkansas State,2022,rushingYards,1058,
Arkansas State,2022,passesIntercepted,6,
Arkansas State,2022,games,12,
Arkansas State,2022,firstDowns,206,
Arkansas State,2022,puntReturns,17,
Arkansas State,2022,rushingAttempts,381,
Army,2022,rushingTDs,38,
Army,2022,games,12,
Army,2022,passesIntercepted,10,
Army,2022,rushingYards,3467,
Army,2022,firstDowns,211,
Army,2022,penaltyYards,465,
Army,2022,sacks,18,
Army,2022,fumblesRecovered,10,
Army,2022,tacklesForLoss,45,
Army,2022,puntReturns,15,
Army,2022,interceptions,4,
Army,2022,turnovers,12,
Army,2022,penalties,58,
Army,2022,totalYards,4391,
Army,2022,thirdDownConversions,70,
Army,2022,netPassingYards,924,
Army,2022,fourthDownConversions,16,
Army,2022,interceptionYards,74,
Army,2022,passingTDs,5,
Army,2022,passCompletions,42,
Army,2022,interceptionTDs,0,
Army,2022,puntReturnYards,167,
Army,2022,kickReturnTDs,0,
Army,2022,thirdDowns,159,
Army,2022,possessionTime,22773,
Army,2022,kickReturns,13,
Army,2022,rushingAttempts,645,
Army,2022,puntReturnTDs,3,
Army,2022,kickReturnYards,211,
Army,2022,passAttempts,104,
Army,2022,fumblesLost,8,
Army,2022,fourthDowns,30,
Auburn,2022,firstDowns,217,
Auburn,2022,penaltyYards,688,
Auburn,2022,puntReturns,20,
Auburn,2022,sacks,26,
Auburn,2022,possessionTime,21757,
Auburn,2022,thirdDownConversions,64,
Auburn,2022,penalties,90,
Auburn,2022,turnovers,22,
Auburn,2022,totalYards,4542,
Auburn,2022,interceptionTDs,1,
Auburn,2022,netPassingYards,2072,
Auburn,2022,fumblesLost,10,
Auburn,2022,interceptionYards,60,
Auburn,2022,tacklesForLoss,62,
Auburn,2022,fourthDowns,22,
Auburn,2022,kickReturnYards,396,
Auburn,2022,thirdDowns,178,
Auburn,2022,fourthDownConversions,13,
Auburn,2022,fumblesRecovered,12,
Auburn,2022,games,12,
Auburn,2022,passingTDs,9,
Auburn,2022,passesIntercepted,6,
Auburn,2022,rushingAttempts,488,
Auburn,2022,kickReturns,24,
Auburn,2022,rushingYards,2470,
Auburn,2022,puntReturnYards,170,
Auburn,2022,rushingTDs,25,
Auburn,2022,passCompletions,159,
Auburn,2022,interceptions,12,
Auburn,2022,kickReturnTDs,0,
Auburn,2022,passAttempts,308,
Auburn,2022,puntReturnTDs,0,
Ball State,2022,fourthDownConversions,6,
Ball State,2022,passAttempts,481,
Ball State,2022,thirdDowns,185,
Ball State,2022,rushingYards,1893,
Ball State,2022,passCompletions,287,
Ball State,2022,firstDowns,256,
Ball State,2022,rushingAttempts,417,
Ball State,2022,tacklesForLoss,65,
Ball State,2022,fumblesLost,7,
Ball State,2022,passingTDs,18,
Ball State,2022,penalties,73,
Ball State,2022,passesIntercepted,7,
Ball State,2022,games,12,
Ball State,2022,penaltyYards,691,
Ball State,2022,puntReturns,13,
Ball State,2022,interceptionYards,44,
Ball State,2022,possessionTime,20158,
Ball State,2022,fumblesRecovered,10,
Ball State,2022,kickReturnTDs,0,
Ball State,2022,kickReturns,22,
Ball State,2022,thirdDownConversions,67,
Ball State,2022,puntReturnTDs,0,
Ball State,2022,fourthDowns,19,
Ball State,2022,sacks,25,
Ball State,2022,totalYards,4631,
Ball State,2022,rushingTDs,14,
Ball State,2022,interceptionTDs,0,
Ball State,2022,turnovers,21,
Ball State,2022,interceptions,14,
Ball State,2022,kickReturnYards,473,
Ball State,2022,puntReturnYards,57,
Ball State,2022,netPassingYards,2738,
Baylor,2022,totalYards,5380,
Baylor,2022,possessionTime,24573,
Baylor,2022,passesIntercepted,13,
Baylor,2022,sacks,24,
Baylor,2022,fourthDowns,47,
Baylor,2022,kickReturns,35,
Baylor,2022,passingTDs,19,
Baylor,2022,fumblesLost,7,
Baylor,2022,penalties,62,
Baylor,2022,puntReturnTDs,1,
Baylor,2022,thirdDownConversions,72,
Baylor,2022,games,13,
Baylor,2022,puntReturnYards,189,
Baylor,2022,interceptionTDs,1,
Baylor,2022,tacklesForLoss,60,
Baylor,2022,kickReturnYards,596,
Baylor,2022,kickReturnTDs,0,
Baylor,2022,passCompletions,247,
Baylor,2022,puntReturns,15,
Baylor,2022,turnovers,18,
Baylor,2022,fumblesRecovered,7,
Baylor,2022,interceptionYards,87,
Baylor,2022,passAttempts,392,
Baylor,2022,interceptions,11,
Baylor,2022,netPassingYards,3009,
Baylor,2022,penaltyYards,533,
Baylor,2022,firstDowns,295,
Baylor,2022,rushingYards,2371,
Baylor,2022,thirdDowns,179,
Baylor,2022,fourthDownConversions,30,
Baylor,2022,rushingAttempts,535,
Baylor,2022,rushingTDs,34,
Boise State,2022,thirdDownConversions,76,
Boise State,2022,kickReturnYards,542,
Boise State,2022,interceptionTDs,1,
Boise State,2022,penaltyYards,664,
Boise State,2022,rushingTDs,27,
Boise State,2022,tacklesForLoss,71,
Boise State,2022,passAttempts,385,
Boise State,2022,possessionTime,25906,
Boise State,2022,firstDowns,273,
Boise State,2022,puntReturns,28,
Boise State,2022,fumblesLost,8,
Boise State,2022,fourthDowns,17,
Boise State,2022,interceptions,9,
Boise State,2022,rushingAttempts,549,
Boise State,2022,totalYards,5400,
Boise State,2022,passingTDs,20,
Boise State,2022,games,14,
Boise State,2022,netPassingYards,2649,
Boise State,2022,rushingYards,2751,
Boise State,2022,fumblesRecovered,6,
Boise State,2022,kickReturns,24,
Boise State,2022,puntReturnYards,187,
Boise State,2022,passCompletions,229,
Boise State,2022,sacks,29,
Boise State,2022,interceptionYards,186,
Boise State,2022,puntReturnTDs,1,
Boise State,2022,turnovers,17,
Boise State,2022,passesIntercepted,15,
Boise State,2022,kickReturnTDs,0,
Boise State,2022,fourthDownConversions,10,
Boise State,2022,penalties,78,
Boise State,2022,thirdDowns,191,
Boston College,2022,kickReturnTDs,0,
Boston College,2022,totalYards,3733,
Boston College,2022,passingTDs,21,
Boston College,2022,interceptions,14,
Boston College,2022,possessionTime,21062,
Boston College,2022,penaltyYards,582,
Boston College,2022,fumblesLost,12,
Boston College,2022,puntReturnYards,85,
Boston College,2022,fumblesRecovered,9,
Boston College,2022,thirdDownConversions,57,
Boston College,2022,thirdDowns,174,
Boston College,2022,kickReturns,30,
Boston College,2022,kickReturnYards,623,
Boston College,2022,interceptionTDs,0,
Boston College,2022,rushingYards,768,
Boston College,2022,turnovers,26,
Boston College,2022,games,12,
Boston College,2022,tacklesForLoss,82,
Boston College,2022,sacks,26,
Boston College,2022,puntReturnTDs,0,
Boston College,2022,puntReturns,14,
Boston College,2022,fourthDowns,18,
Boston College,2022,passCompletions,262,
Boston College,2022,firstDowns,201,
Boston College,2022,fourthDownConversions,8,
Boston College,2022,netPassingYards,2965,
Boston College,2022,passesIntercepted,7,
Boston College,2022,rushingAttempts,363,
Boston College,2022,penalties,72,
Boston College,2022,interceptionYards,87,
Boston College,2022,passAttempts,440,
Boston College,2022,rushingTDs,6,
Bowling Green,2022,possessionTime,22628,
Bowling Green,2022,kickReturnTDs,1,
Bowling Green,2022,games,13,
Bowling Green,2022,passingTDs,25,
Bowling Green,2022,rushingTDs,8,
Bowling Green,2022,puntReturns,16,
Bowling Green,2022,firstDowns,226,
Bowling Green,2022,netPassingYards,3062,
Bowling Green,2022,puntReturnTDs,2,
Bowling Green,2022,totalYards,4345,
Bowling Green,2022,sacks,37,
Bowling Green,2022,interceptionYards,142,
Bowling Green,2022,fourthDownConversions,11,
Bowling Green,2022,fumblesLost,12,
Bowling Green,2022,penalties,100,
Bowling Green,2022,tacklesForLoss,81,
Bowling Green,2022,puntReturnYards,200,
Bowling Green,2022,thirdDownConversions,64,
Bowling Green,2022,fourthDowns,25,
Bowling Green,2022,interceptionTDs,1,
Bowling Green,2022,passCompletions,267,
Bowling Green,2022,rushingAttempts,415,
Bowling Green,2022,kickReturnYards,863,
Bowling Green,2022,thirdDowns,188,
Bowling Green,2022,interceptions,11,
Bowling Green,2022,penaltyYards,896,
Bowling Green,2022,rushingYards,1283,
Bowling Green,2022,passesIntercepted,10,
Bowling Green,2022,turnovers,23,
Bowling Green,2022,kickReturns,40,
Bowling Green,2022,fumblesRecovered,15,
Bowling Green,2022,passAttempts,440,
Buffalo,2022,fourthDownConversions,19,
Buffalo,2022,penaltyYards,565,
Buffalo,2022,firstDowns,268,
Buffalo,2022,netPassingYards,2795,
Buffalo,2022,puntReturnTDs,0,
Buffalo,2022,puntReturnYards,10,
Buffalo,2022,interceptionTDs,1,
Buffalo,2022,rushingAttempts,512,
Buffalo,2022,interceptions,8,
Buffalo,2022,passesIntercepted,11,
